Sid,Date,Close,returns_percent,states_value,state,portfolio_value
FIBBG000B9XRY4,2023-01-03,124.2163,,-1,Bear,0
FIBBG000B9XRY4,2023-01-04,125.4975,0.0103142663241458,1,Bull,0
FIBBG000B9XRY4,2023-01-05,124.1666,-0.0106049921313173,-1,Bear,0
FIBBG000B9XRY4,2023-01-06,128.7352,0.0367941137149602,1,Bull,0
FIBBG000B9XRY4,2023-01-09,129.2616,0.0040890137274031,0,Flat,0
FIBBG000B9XRY4,2023-01-10,129.8377,0.0044568533887869,0,Flat,0
FIBBG000B9XRY4,2023-01-11,132.5788,0.021111741813048,1,Bull,1
FIBBG000B9XRY4,2023-01-12,132.4994,-0.0005988891134932,0,Flat,1
FIBBG000B9XRY4,2023-01-13,133.8402,0.0101192911062238,1,Bull,2
FIBBG000B9XRY4,2023-01-17,135.0121,0.0087559642020857,0,Flat,2
FIBBG000B9XRY4,2023-01-18,134.2871,-0.0053698890692019,0,Flat,2
FIBBG000B9XRY4,2023-01-19,134.3467,0.0004438252073355,0,Flat,2
FIBBG000B9XRY4,2023-01-20,136.9289,0.0192204200028731,1,Bull,3
FIBBG000B9XRY4,2023-01-23,140.1468,0.0235005174218153,1,Bull,3
FIBBG000B9XRY4,2023-01-24,141.5571,0.0100630196336982,1,Bull,3
FIBBG000B9XRY4,2023-01-25,140.8917,-0.0047005766577586,0,Flat,3
FIBBG000B9XRY4,2023-01-26,142.9774,0.014803568982417,1,Bull,4
FIBBG000B9XRY4,2023-01-27,144.9339,0.0136839808249416,1,Bull,4
FIBBG000B9XRY4,2023-01-30,142.0239,-0.0200781183698223,-1,Bear,4
FIBBG000B9XRY4,2023-01-31,143.3051,0.0090210168851863,0,Flat,4
FIBBG000B9XRY4,2023-02-01,144.4373,0.0079006260070296,0,Flat,4
FIBBG000B9XRY4,2023-02-02,149.7905,0.0370624485503399,1,Bull,5
FIBBG000B9XRY4,2023-02-03,153.4454,0.0244000787766914,1,Bull,5
FIBBG000B9XRY4,2023-02-06,150.6943,-0.017928852868838,-1,Bear,5
FIBBG000B9XRY4,2023-02-07,153.5944,0.0192449216725517,1,Bull,5
FIBBG000B9XRY4,2023-02-08,150.883,-0.017652987348497,-1,Bear,5
FIBBG000B9XRY4,2023-02-09,149.8402,-0.0069113153900704,0,Flat,5
FIBBG000B9XRY4,2023-02-10,150.2082,0.0024559497384546,0,Flat,5
FIBBG000B9XRY4,2023-02-13,153.0332,0.0188072288996205,1,Bull,6
FIBBG000B9XRY4,2023-02-14,152.3866,-0.0042252269442186,0,Flat,6
FIBBG000B9XRY4,2023-02-15,154.5053,0.0139034534532565,1,Bull,7
FIBBG000B9XRY4,2023-02-16,152.8939,-0.0104294156899472,-1,Bear,7
FIBBG000B9XRY4,2023-02-17,151.7401,-0.0075464096343934,0,Flat,7
FIBBG000B9XRY4,2023-02-21,147.6917,-0.0266798295242985,-1,Bear,6
FIBBG000B9XRY4,2023-02-22,148.1194,0.0028958973320776,0,Flat,6
FIBBG000B9XRY4,2023-02-23,148.6068,0.0032905885387057,0,Flat,6
FIBBG000B9XRY4,2023-02-24,145.9311,-0.0180052326003924,-1,Bear,5
FIBBG000B9XRY4,2023-02-27,147.1346,0.008247042611205,0,Flat,5
FIBBG000B9XRY4,2023-02-28,146.6273,-0.0034478633849551,0,Flat,5
FIBBG000B9XRY4,2023-03-01,144.5385,-0.0142456418415942,-1,Bear,4
FIBBG000B9XRY4,2023-03-02,145.1353,0.0041290036910581,0,Flat,4
FIBBG000B9XRY4,2023-03-03,150.2281,0.0350900160057547,1,Bull,5
FIBBG000B9XRY4,2023-03-06,153.0133,0.0185398071332858,1,Bull,5
FIBBG000B9XRY4,2023-03-07,150.7951,-0.014496779038162,-1,Bear,5
FIBBG000B9XRY4,2023-03-08,152.0584,0.0083775931711309,0,Flat,5
FIBBG000B9XRY4,2023-03-09,149.7905,-0.0149146643657962,-1,Bear,4
FIBBG000B9XRY4,2023-03-10,147.7116,-0.0138787172751276,-1,Bear,4
FIBBG000B9XRY4,2023-03-13,149.6711,0.0132657150826339,1,Bull,4
FIBBG000B9XRY4,2023-03-14,151.7798,0.0140888922443945,1,Bull,4
FIBBG000B9XRY4,2023-03-15,152.1777,0.0026215609718815,0,Flat,4
FIBBG000B9XRY4,2023-03-16,155.0225,0.0186939347880801,1,Bull,5
FIBBG000B9XRY4,2023-03-17,154.177,-0.0054540469931785,0,Flat,5
FIBBG000B9XRY4,2023-03-20,156.5643,0.0154841513325594,1,Bull,6
FIBBG000B9XRY4,2023-03-21,158.4343,0.0119439744565012,1,Bull,6
FIBBG000B9XRY4,2023-03-22,156.992,-0.0091034580264501,0,Flat,6
FIBBG000B9XRY4,2023-03-23,158.0862,0.0069697818997146,0,Flat,6
FIBBG000B9XRY4,2023-03-24,159.3992,0.0083055953018038,0,Flat,6
FIBBG000B9XRY4,2023-03-27,157.4396,-0.0122936627034514,-1,Bear,5
FIBBG000B9XRY4,2023-03-28,156.813,-0.0039799389734223,0,Flat,5
FIBBG000B9XRY4,2023-03-29,159.9164,0.0197904510467883,1,Bull,6
FIBBG000B9XRY4,2023-03-30,161.498,0.0098901676125774,0,Flat,6
